player_index,Age,PER,DRB%,USG%,DWS,WS,VORP,FG%,2P%,FT%,DRB,AST,PF,ALL_STAR_PROB,ALL_STAR,Player,Year
Furkan Aldemir: 2015,-0.8750529703866003,-0.3795413795601384,1.056755490381655,-2.094506248207786,-0.6852181906243714,-0.5867335650594426,-0.39414072984201576,1.0002579498292976,1.1996549576068825,-2.1219836535770353,-0.6713689895221768,-0.767588519782315,-0.5161217672963455,0.0,False,Furkan Aldemir,2015
Kurt Thomas: 2007,1.7420225891923518,-0.5166651097836702,2.1379353306857727,-1.3776118970559157,0.14744773981145565,-0.09643527548211309,-0.5313360026452382,0.568414556230102,0.19796004229777614,0.4530530957946216,0.7241915398552728,-0.7966227401356458,0.4245653688831981,0.0,False,Kurt Thomas,2007
Wesley Johnson: 2015,0.07661086946029132,-0.5852269748954363,-0.303438502259009,-0.49685597992647496,-0.6852181906243714,-0.4886739071439767,-0.32554309344040466,-0.5831678267010857,-0.4197518221428396,0.578460729692592,0.43076599265283466,-0.07076723130237551,0.5186340825011525,0.0,False,Wesley Johnson,2015
Delonte West: 2006,-1.1129689303483232,0.32893122659477625,-0.5650142700745213,-0.49685597992647496,0.48051411198578653,0.8187881983955687,1.1150072709934298,0.584408755993036,0.9659261440347591,0.971404649239565,0.28763157938335265,1.4172365618058287,1.0673682452725528,0.0,False,Delonte West,2006
Allen Crabbe: 2015,-1.1129689303483232,-1.1337218957895638,-0.7917132688479654,-1.5005080715390933,-0.6019515975807886,-0.6194201176979311,-0.32554309344040466,-0.6151562262269511,0.14787529653232073,0.1269932476598985,-0.900384050753348,-0.6877444138106553,-0.8610403838955115,0.0,False,Allen Crabbe,2015
Brad Miller: 2006,0.5524427893837371,0.8774261474889039,0.8474948761292452,0.015211413753432537,1.729513007639527,1.930130988104182,1.8695812714111528,0.7123623540965005,0.5151634321456604,0.7791129439293438,2.155535672550093,1.7438715407808003,1.6474586459166047,0.18,False,Brad Miller,2006
David Lee: 2010,-0.1613050905014316,1.9515620342399036,2.2600040223330122,1.0188635053660517,1.146646856334448,2.3223696197660457,2.0067765442143752,1.5120723422431592,1.2163498728620343,0.6453448011048429,3.787267983822188,1.1704456888025168,2.0080553814520963,0.73,True,David Lee,2010
Manny Harris: 2011,-1.350884890310046,-0.7452046601562233,-0.2511233486959067,0.05617680524782572,-0.9350179697551195,-1.0443453019982833,-0.8057265482516829,-1.2229358172184117,-1.6718704662792239,0.2356798637048062,-0.6284286655413323,-0.3538508797473509,-1.002143454322443,0.0,False,Manny Harris,2011
Dwight Howard: 2006,-1.588800850271769,1.2887973381594997,2.5390181746695584,0.5067961116861441,2.395645751988189,1.766698224911739,1.183604907395041,1.2881535455620947,0.9325363135244554,-1.1688856359524615,3.880305352447351,-0.06350867621404281,2.321617760178611,0.12,False,Dwight Howard,2006
Jannero Pargo: 2008,0.3145268294220142,-0.40239533459739363,-1.10560419022658,1.1007942883548365,-0.1023520393192925,-0.6847932229749084,-0.8057265482516829,-0.9670286210114809,-1.1710230086246698,1.1887778813293806,-0.6284286655413323,0.4228145147042483,-0.09281255601555088,0.0,False,Jannero Pargo,2008
Chris Bosh: 2007,-1.1129689303483232,2.0429778543889254,1.7717292557440556,1.6128616820347441,1.6462464145959443,2.093563751296625,1.5951907258047082,0.7283565538594337,0.4149939406147496,0.4196110600884962,2.599252353685487,0.29941907820259234,0.5343122014374782,0.78,True,Chris Bosh,2007
JaMychal Green: 2016,-0.39922105046315454,0.2146614514084997,0.8126181070871771,0.19955567547819966,-0.1023520393192925,-0.19449493339757892,-0.5313360026452382,0.23253636120850615,0.031010889746258107,0.14371426551296124,0.3019450207103009,-0.4845048713373396,0.9419432937819471,0.0,False,JaMychal Green,2016
Shaquille O'Neal: 2007,1.7420225891923518,1.837292259053627,0.9870019522975186,2.165894467209044,-0.01908544627570972,-0.12912182812060174,0.017445088567651198,2.2478055313380834,1.91753631357841,-2.615253680242385,0.05861651815218145,-0.3974022102773472,0.15803734696566074,0.2,True,Shaquille O'Neal,2007
Shawne Williams: 2008,-1.350884890310046,-0.19670973926209573,-0.11161627252763331,0.5067961116861441,-0.4354184114936232,-0.5867335650594426,-0.5999336390468493,-0.37524322978295355,0.29812953382868695,-0.14890354691563548,-0.4996076935987984,-0.5425733120440013,0.04829051441138066,0.0,False,Shawne Williams,2008
Montrezl Harrell: 2016,-1.1129689303483232,0.2146614514084997,-0.512699116511419,-0.8860271991232044,-1.1015511558422848,-0.7501663282518858,-0.5313360026452382,3.0954981187735413,2.93592614414267,-1.77920278758925,-1.0864587880036747,-0.8474326257539747,-1.2686714762399804,0.0,False,Montrezl Harrell,2016
Andris Biedrins: 2007,-1.588800850271769,0.5803247320045847,1.6322221795757823,-1.0294060693535783,1.4797132285087788,1.145653724780455,0.9092143617885965,2.3757591294415485,2.0510956356196246,-1.7875632965157815,2.2843566444926267,-0.33207521448235283,2.744926971459406,0.0,False,Andris Biedrins,2007
Darius Songaila: 2009,0.79035874934546,0.05468376614771266,-0.4429455784272823,-0.35347710969610024,-0.6852181906243714,-0.25986803867455627,-0.39414072984201576,1.3041477453250279,0.9492312287796054,1.2891039884477569,-0.2849060736945754,-0.2885238839523566,1.11440260208153,0.0,False,Darius Songaila,2009
Eric Gordon: 2015,-0.1613050905014316,-0.21956369429935135,-1.2625496509158876,0.19955567547819966,-0.6852181906243714,-0.09643527548211309,-0.051152547833960026,-0.6311504259898844,-1.6050908052586168,0.5868212386191234,-0.4351972076275315,0.6913810529725584,0.2521060605836151,0.0,False,Eric Gordon,2015
